"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
3;121102;"ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ";25668;9270;7558;1901;1346;4311;1712;16398
3;121103;"ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ";15179;5333;4362;1697;749;1916;971;9846
3;121201;"ΔΗΜΟΣ ΣΕΡΡΩΝ";76817;30106;24078;2743;3722;17613;6028;46711
3;121202;"ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ";9182;2675;2080;916;237;927;595;6507
3;121203;"ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ";20030;6795;5580;2740;758;2082;1215;13235
3;121204;"ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ";14664;4969;3946;1499;726;1721;1023;9695
3;121205;"ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ";21145;7220;5434;2437;722;2275;1786;13925
3;121206;"ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ";12397;4246;3611;1953;356;1302;635;8151
3;121207;"ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ";22195;7046;5247;1863;718;2666;1799;15149
3;121301;"ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ";22048;8764;7394;1683;1444;4267;1370;13284
3;121303;"ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ";16672;7309;5825;522;1035;4268;1484;9363
3;121304;"ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ";36500;14804;11763;2268;2508;6987;3041;21696
3;121305;"ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ";12394;5205;4162;665;628;2869;1043;7189
3;211401;"ΔΗΜΟΣ ΚΟΖΑΝΗΣ";71388;28015;21631;1103;6138;14390;6384;43373
3;211402;"ΔΗΜΟΣ ΒΟΪΟΥ";18386;6474;4815;1030;1360;2425;1659;11912
3;211403;"ΔΗΜΟΣ ΕΟΡΔΑΙΑΣ";45592;16931;13318;718;4970;7630;3613;28661
3;211404;"ΔΗΜΟΣ ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ";14830;4933;3732;982;904;1846;1201;9897
3;211501;"ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ";25905;8860;7140;1298;1239;4603;1720;17045
3;211502;"ΔΗΜΟΣ ΔΕΣΚΑΤΗΣ";5852;1975;1533;594;193;746;442;3877
3;211601;"ΔΗΜΟΣ ΚΑΣΤΟΡΙΑΣ";35874;15412;11573;2057;2492;7024;3839;20462
3;211602;"ΔΗΜΟΣ ΝΕΣΤΟΡΙΟΥ";2646;968;691;221;136;334;277;1678
3;211603;"ΔΗΜΟΣ ΟΡΕΣΤΙΔΟΣ";11802;4886;3743;749;816;2178;1143;6916
